Reservations  Temperature  Pizzas
13            26           44
2             14           23
14            20           28
23            25           60
13            24           42
1             12           5
18            23           51
10            18           44
26            24           42
3             14           9
3             12           14
21            27           43
7             17           22
22            21           34
2             12           16
27            26           46
6             15           26
10            21           33
18            18           29
15            26           43
9             20           37
26            25           62
8             21           47
15            22           38
10            20           22
21            21           29
5             12           34
6             14           38
13            19           30
13            20           28
