Reservations  Temperature   Tourists  Pizzas
13            26            9         44
2             14            6         23
14            20            3         28
23            25            9         60
13            24            8         42
1             12            2         5
18            23            9         51
10            18            10        44
26            24            3         42
3             14            1         9
3             12            3         14
21            27            5         43
7             17            3         22
22            21            1         34
2             12            4         16
27            26            2         46
6             15            4         26
10            21            7         33
18            18            3         29
15            26            8         43
9             20            6         37
26            25            9         62
8             21            10        47
15            22            7         38
10            20            2         22
21            21            1         29
5             12            7         34
6             14            9         38
13            19            4         30
13            20            3         28
