Reservations  Temperature   Tourists  Police
13            26            9         1
2             14            6         0
14            20            3         1
23            25            9         1
13            24            8         1
1             13            2         0
18            23            9         1
10            18            10        1
26            24            3         1
3             14            1         0
3             12            3         0
21            27            5         1
7             17            3         0
22            21            1         1
2             14            4         0
27            26            2         1
6             15            4         0
10            21            7         0
18            18            3         0
15            26            8         1
9             20            6         0
26            25            9         1
8             21            10        0
15            22            7         1
10            20            2         0
21            21            1         1
5             12            7         0
6             14            9         0
13            19            4         1
13            20            3         0
