seed: 0, last report: {99999, 81.25%}, max report: {18909, 81.25%}
seed: 1, last report: {99999, 81.25%}, max report: {34046, 81.25%}
seed: 2, last report: {99999, 66.66666666666667%}, max report: {599, 75.0%}
seed: 3, last report: {99999, 72.91666666666667%}, max report: {17413, 77.08333333333333%}
seed: 4, last report: {99999, 83.33333333333333%}, max report: {73627, 83.33333333333333%}
seed: 5, last report: {99999, 85.41666666666667%}, max report: {22479, 87.5%}
seed: 6, last report: {99999, 85.41666666666667%}, max report: {5052, 87.5%}
seed: 7, last report: {99999, 68.75%}, max report: {7600, 68.75%}
seed: 8, last report: {99999, 83.33333333333333%}, max report: {18584, 85.41666666666667%}
seed: 9, last report: {99999, 68.75%}, max report: {4100, 70.83333333333333%}
seed: 10, last report: {99999, 75.0%}, max report: {20283, 77.08333333333333%}
seed: 11, last report: {99999, 83.33333333333333%}, max report: {93458, 83.33333333333333%}
seed: 12, last report: {99999, 68.75%}, max report: {39547, 68.75%}
seed: 13, last report: {99999, 75.0%}, max report: {70571, 75.0%}
seed: 14, last report: {99999, 75.0%}, max report: {8184, 81.25%}
seed: 15, last report: {99999, 75.0%}, max report: {52230, 75.0%}
seed: 16, last report: {99999, 79.16666666666667%}, max report: {19844, 83.33333333333333%}
seed: 17, last report: {99999, 75.0%}, max report: {3787, 77.08333333333333%}
seed: 18, last report: {99999, 83.33333333333333%}, max report: {60810, 87.5%}
seed: 19, last report: {99999, 75.0%}, max report: {25625, 75.0%}
seed: 20, last report: {99999, 70.83333333333333%}, max report: {10482, 72.91666666666667%}
seed: 21, last report: {99999, 72.91666666666667%}, max report: {78058, 75.0%}
seed: 22, last report: {99999, 79.16666666666667%}, max report: {27242, 81.25%}
seed: 23, last report: {99999, 75.0%}, max report: {59677, 75.0%}
seed: 24, last report: {99999, 79.16666666666667%}, max report: {7921, 83.33333333333333%}
seed: 25, last report: {99999, 75.0%}, max report: {30436, 77.08333333333333%}
seed: 26, last report: {99999, 75.0%}, max report: {10052, 75.0%}
seed: 27, last report: {99999, 77.08333333333333%}, max report: {19500, 79.16666666666667%}
seed: 28, last report: {99999, 66.66666666666667%}, max report: {800, 70.83333333333333%}
seed: 29, last report: {99999, 83.33333333333333%}, max report: {44372, 85.41666666666667%}
seed: 30, last report: {99999, 85.41666666666667%}, max report: {74103, 85.41666666666667%}
seed: 31, last report: {99999, 75.0%}, max report: {20929, 79.16666666666667%}
seed: 32, last report: {99999, 81.25%}, max report: {44995, 89.58333333333333%}
seed: 33, last report: {99999, 79.16666666666667%}, max report: {2055, 81.25%}
seed: 34, last report: {99999, 83.33333333333333%}, max report: {35563, 83.33333333333333%}
seed: 35, last report: {99999, 77.08333333333333%}, max report: {72040, 77.08333333333333%}
seed: 36, last report: {99999, 72.91666666666667%}, max report: {71573, 75.0%}
seed: 37, last report: {99999, 79.16666666666667%}, max report: {27332, 79.16666666666667%}
seed: 38, last report: {99999, 83.33333333333333%}, max report: {44491, 83.33333333333333%}
seed: 39, last report: {99999, 70.83333333333333%}, max report: {35787, 72.91666666666667%}
seed: 40, last report: {99999, 79.16666666666667%}, max report: {87046, 79.16666666666667%}
seed: 41, last report: {99999, 75.0%}, max report: {33515, 81.25%}
seed: 42, last report: {99999, 77.08333333333333%}, max report: {17229, 77.08333333333333%}
seed: 43, last report: {99999, 75.0%}, max report: {3933, 77.08333333333333%}
seed: 44, last report: {99999, 83.33333333333333%}, max report: {7832, 87.5%}
seed: 45, last report: {99999, 83.33333333333333%}, max report: {8693, 85.41666666666667%}
seed: 46, last report: {99999, 79.16666666666667%}, max report: {16584, 79.16666666666667%}
seed: 47, last report: {99999, 77.08333333333333%}, max report: {53828, 77.08333333333333%}
seed: 48, last report: {99999, 66.66666666666667%}, max report: {1788, 77.08333333333333%}
seed: 49, last report: {99999, 75.0%}, max report: {3898, 85.41666666666667%}
seed: 50, last report: {99999, 81.25%}, max report: {44039, 83.33333333333333%}
seed: 51, last report: {99999, 72.91666666666667%}, max report: {3355, 75.0%}
seed: 52, last report: {99999, 72.91666666666667%}, max report: {4164, 79.16666666666667%}
seed: 53, last report: {99999, 79.16666666666667%}, max report: {12252, 79.16666666666667%}
seed: 54, last report: {99999, 79.16666666666667%}, max report: {98892, 79.16666666666667%}
seed: 55, last report: {99999, 75.0%}, max report: {17781, 75.0%}
seed: 56, last report: {99999, 79.16666666666667%}, max report: {85959, 81.25%}
seed: 57, last report: {99999, 79.16666666666667%}, max report: {5334, 83.33333333333333%}
seed: 58, last report: {99999, 77.08333333333333%}, max report: {27106, 79.16666666666667%}
seed: 59, last report: {99999, 72.91666666666667%}, max report: {5261, 72.91666666666667%}
seed: 60, last report: {99999, 77.08333333333333%}, max report: {15309, 79.16666666666667%}
seed: 61, last report: {99999, 77.08333333333333%}, max report: {48603, 79.16666666666667%}
seed: 62, last report: {99999, 87.5%}, max report: {7114, 87.5%}
seed: 63, last report: {99999, 77.08333333333333%}, max report: {1513, 79.16666666666667%}
seed: 64, last report: {99999, 72.91666666666667%}, max report: {12601, 75.0%}
seed: 65, last report: {99999, 66.66666666666667%}, max report: {5296, 75.0%}
seed: 66, last report: {99999, 72.91666666666667%}, max report: {95258, 72.91666666666667%}
seed: 67, last report: {99999, 81.25%}, max report: {14952, 85.41666666666667%}
seed: 68, last report: {99999, 79.16666666666667%}, max report: {19580, 81.25%}
seed: 69, last report: {99999, 85.41666666666667%}, max report: {80082, 85.41666666666667%}
seed: 70, last report: {99999, 79.16666666666667%}, max report: {67560, 79.16666666666667%}
seed: 71, last report: {99999, 81.25%}, max report: {59272, 81.25%}
seed: 72, last report: {99999, 81.25%}, max report: {14584, 83.33333333333333%}
seed: 73, last report: {99999, 75.0%}, max report: {1845, 75.0%}
seed: 74, last report: {99999, 70.83333333333333%}, max report: {38719, 75.0%}
seed: 75, last report: {99999, 68.75%}, max report: {47293, 68.75%}
seed: 76, last report: {99999, 72.91666666666667%}, max report: {675, 77.08333333333333%}
seed: 77, last report: {99999, 75.0%}, max report: {1945, 79.16666666666667%}
seed: 78, last report: {99999, 81.25%}, max report: {38393, 81.25%}
seed: 79, last report: {99999, 81.25%}, max report: {41124, 83.33333333333333%}
seed: 80, last report: {99999, 77.08333333333333%}, max report: {3001, 77.08333333333333%}
seed: 81, last report: {99999, 79.16666666666667%}, max report: {27362, 83.33333333333333%}
seed: 82, last report: {99999, 68.75%}, max report: {35765, 72.91666666666667%}
seed: 83, last report: {99999, 70.83333333333333%}, max report: {32968, 70.83333333333333%}
seed: 84, last report: {99999, 72.91666666666667%}, max report: {8628, 79.16666666666667%}
seed: 85, last report: {99999, 85.41666666666667%}, max report: {93904, 85.41666666666667%}
seed: 86, last report: {99999, 75.0%}, max report: {48891, 77.08333333333333%}
seed: 87, last report: {99999, 70.83333333333333%}, max report: {422, 72.91666666666667%}
seed: 88, last report: {99999, 79.16666666666667%}, max report: {8319, 81.25%}
seed: 89, last report: {99999, 70.83333333333333%}, max report: {30000, 77.08333333333333%}
seed: 90, last report: {99999, 77.08333333333333%}, max report: {24308, 79.16666666666667%}
seed: 91, last report: {99999, 66.66666666666667%}, max report: {34768, 72.91666666666667%}
seed: 92, last report: {99999, 72.91666666666667%}, max report: {20252, 72.91666666666667%}
seed: 93, last report: {99999, 75.0%}, max report: {18490, 83.33333333333333%}
seed: 94, last report: {99999, 81.25%}, max report: {23952, 81.25%}
seed: 95, last report: {99999, 77.08333333333333%}, max report: {3725, 81.25%}
seed: 96, last report: {99999, 81.25%}, max report: {2720, 85.41666666666667%}
seed: 97, last report: {99999, 85.41666666666667%}, max report: {10278, 93.75%}
