Input_A	Input_B	Label
2.95 7.25 0
2.95 6.8 0
3.6 6.85 0
3.4 7.9 0
3.55 7.75 0
4.15 7.5 0
4.8 7.45 0
5.95 7.65 0
5.45 7.65 0
5.35 8.25 0
4.7 8 0
4.4 8.45 0
5.35 9.05 0
6.1 8.65 0
6.15 8.1 0
6.6 7.7 0
7.4 7.65 0
8.45 8.45 0
7.3 8.65 0
7.15 8.1 0
3.6 7.4 0
8.4 8 0
8.15 7.7 0
7.9 8.9 0
6.9 9.7 0
6.75 8.75 0
5.9 9.5 0
5.2 8.85 0
6.45 9.3 0
5.25 9.7 0
5.55 10.45 0
6.1 10.4 0
7.2 11.45 0
8.1 10.75 0
10.6 10.15 0
13.35 10.7 0
13.35 8.3 0
15.15 5.5 0
18.6 9.15 0
18.05 13.9 0
24.45 9.9 0
24.6 6.7 0
12.05 4.8 0
11.75 6.35 0
13 6.1 0
12.2 5.55 0
9.6 8.1 0
9 7.7 0
8.95 9.3 0
9.8 7.65 0
10.7 7.7 0
10.25 7.35 0
10.9 7.15 0
11.95 7.3 0
11.2 6.75 0
11.8 4.4 0
10.25 4.7 0
11.15 4.1 0
10.9 4.6 0
10.4 3.95 0
10.85 3.8 0
11.35 3.4 0
11.85 3.3 0
11.65 2.5 0
11.45 2.25 0
12.05 2.2 0
12.05 3.15 0
12.2 2.9 0
12.8 2.75 0
13.35 3.8 0
13.65 3.05 0
13.55 2.55 0
12.6 3.7 0
11.9 4.05 0
12.95 4.55 0
12.45 5 0
12.5 4.55 0
14.05 3.85 0
14.85 4 0
12.8 3.4 0
14.2 3.3 0
15.7 4.2 0
16.15 4 0
17.15 6 0
14.15 6.9 0
14.15 5.75 0
13.6 5.15 0
7.55 12.2 0
6.45 11.8 0
8.4 12.3 0
8.4 13.15 0
11 13.35 0
11.85 11.15 0
19.8 9.95 0
24.15 5.35 0
25.05 3 0
25.5 2.4 0
26.15 2.05 0
26.75 2.2 0
27.4 2.25 0
28.5 2.45 0
28.75 3.95 0
28.75 3.25 0
28.35 2.95 0
28.9 2.7 0
27.15 2.7 0
27.5 2.65 0
27.8 3 0
26.7 4 0
26.7 3.35 0
25.7 2.45 0
25.65 3.05 0
24.7 3.95 0
26 3.15 0
26.4 2.85 0
27.4 4.1 0
28.1 4.95 0
27.1 6.3 0
27.2 4.9 0
25.5 3.85 0
24.95 3.5 0
26.1 3.9 0
26.1 5.3 0
26.8 4.65 0
25.35 4.65 0
28.6 5.25 0
28.15 6 0
29.2 5.85 0
28.05 5.65 0
29.7 6.35 0
28.95 6.35 0
28.95 6.95 0
30.05 7.4 0
29.2 7.55 0
29.4 8.6 0
29.1 8.2 0
28.25 9.2 0
28.45 7.75 0
27.3 7.5 0
27.85 6.8 0
28.65 7.15 0
28.5 6.6 0
27.2 5.45 0
26.55 5.6 0
26 6.25 0
26.6 6.3 0
26.4 7.15 0
27.55 6.95 0
27.65 8.45 0
28.95 8.95 0
29.65 9.85 0
28.85 9.6 0
29.35 10.65 0
28.6 10.25 0
28.85 11.25 0
28.15 11.05 0
28.1 10 0
28.5 9.15 0
28.4 8.7 0
27.6 11.65 0
28.25 11.9 0
27.7 12.8 0
26.65 13.05 0
24.4 13.65 0
23.85 11.65 0
21.45 12.45 0
19.6 11.6 0
17.55 11.9 0
17.2 10.1 0
14.9 9.9 0
14.3 11.8 0
8.75 13.75 0
9.55 14.5 0
10.55 14.8 0
11.8 15.9 0
11.6 15.1 0
13 16.3 0
12.85 15.6 0
14.2 16.4 0
15.4 16.9 0
16.45 17.2 0
17.9 17.6 0
19.6 17.65 0
21.4 17.2 0
20.7 17.5 0
22 17.05 0
22.25 17.05 0
22.9 16.7 0
24.05 16.4 0
25.55 15.3 0
25.65 14.75 0
26.3 14.15 0
26.85 13.85 0
26.2 11.7 0
21.65 11.8 0
22.2 8.35 0
19.4 5.3 0
16.85 5.2 0
17.2 4.2 0
18.25 5.3 0
18 4.3 0
19.25 4.25 0
18.6 4.65 0
20.3 4.2 0
20.25 5.15 0
20.65 4.15 0
21.9 4.05 0
22.5 5.2 0
22.6 4.05 0
23.1 4 0
23.6 4.5 0
23.6 4.1 0
24.15 3.9 0
21.05 7.25 0
20.9 5.3 0
17.1 6.9 0
14.9 7.55 0
10.9 9.95 0
10.55 8.85 0
8.3 8.85 0
7.5 10.05 0
6.85 10.9 0
6.25 10.35 0
9 9.7 0
8.25 9.7 0
8.5 11 0
7.95 11.45 0
9.15 11.65 0
9.45 10.3 0
10.65 9.9 0
9.75 9.85 0
9.75 8.5 0
11.9 8.2 0
11.9 9.85 0
11.55 9.1 0
10.7 9.15 0
9.3 11.75 0
10.65 13.15 0
14.4 14.15 0
12.55 13.95 0
13.5 13 0
17.05 13.8 0
16.85 16.45 0
16.4 13.45 0
15.2 15.3 0
16.3 12 0
23.6 13.2 0
21.65 9.35 0
16.35 11.15 0
20.55 9.2 0
21.3 13.55 0
16.75 13.45 0
15 9.5 0
24.55 8.9 0
18.7 6.6 0
16.9 8.4 0
23.4 10.5 0
18.2 12.9 0
24.5 9.85 0
18.25 7.9 0
20.75 7.65 0
19.65 8.35 0
19.6 14.1 0
18.25 15.7 0
21.05 14.65 0
26.5 11.4 0
23.5 8.7 0
16.1 8.4 0
14.5 12.3 0
18.15 9.95 0
22 9.95 0
22 8.2 0
22.45 5.65 0
22.05 4.75 0
25.45 8.55 0
26.2 9.8 0
27.05 8.4 0
27.05 10.6 0
25.05 10.6 0
25.9 8 0
22.35 7.45 0
20.45 6.6 0
15.05 6.5 0
14.3 4.9 0
16.3 4.7 0
15.05 8 0
13.1 7 0
13.2 9.75 0
14.8 9 0
10.7 11.35 0
10 12.55 0
9.4 13.7 0
11.5 12.9 0
11.3 11.45 0
13.9 11.45 0
12.05 12.75 0
17.5 13.65 0
22.05 15.7 0
23.45 14.8 0
22.6 13.95 0
22.9 11.85 0
22.9 9.7 0
24.05 6.85 0
23.1 7.35 0
23.1 7.35 0
23.9 4.85 0
22.85 6.1 0
21.45 6.1 0
25.9 7.25 0
24 7.8 0
25.6 5.8 0
24.3 5.8 0
17.65 8.1 0
15.35 11 0
16.5 9.3 0
14.85 10.1 0
13.95 9.9 0
13.95 8.9 0
15.8 8.9 0
15.95 10.65 0
12.7 12.25 0
11.45 12.3 0
12.5 10.25 0
12.75 9.2 0
11.5 11.15 0
11.35 11 0
12.8 12.05 0
12.75 11.5 0
15.95 13.75 0
15.45 12.35 0
14.95 13.35 0
17.15 12.4 0
17.1 10.5 0
16 9.55 0
18.3 10.25 0
18.2 11.65 0
18.9 10.8 0
18.9 12.4 0
20.45 12.5 0
20.45 10.6 0
19.05 10.3 0
19.55 9.55 0
19.15 8.5 0
19.5 7.35 0
18.5 7.35 0
17.95 6.8 0
18 6 0
19.65 6 0
16.8 7.4 0
16.2 7.6 0
21.95 9.2 0
21.1 10.85 0
21.05 11.55 0
22.5 10.8 0
22.45 12.25 0
24.3 12.05 0
25.7 10.25 0
25.35 9.45 0
25.25 12 0
25.25 14.25 0
23.85 15.6 0
20 16.7 0
20 15.05 0
18.95 16.15 0
20.3 16 0
18.55 16.7 0
17 15.25 0
13.3 15 0
12 14.8 0
10.05 14.05 0
11.35 12.85 0
8.75 12.9 0
10.3 11.6 0
9.55 10.25 0
9.35 11.3 0
10.2 10.9 0
7.6 9.2 0
12.9 8.9 0
15.65 12.35 0
12.65 14 0
13.95 12.5 0
11.8 13.4 0
14.55 13.9 0
14.4 15.9 0
14.15 14.85 0
14.15 13.75 0
16.35 14.7 0
18.75 14.3 0
18.55 13.4 0
21.15 13.45 0
23.1 15.4 0
21.9 14.2 0
21.95 15.25 0
23.2 14.6 0
22.25 14.7 0
22.9 13.45 0
22.2 13.3 0
24.05 12.65 0
24.8 12.95 0
26.65 12.55 0
25.9 13.55 0
25.8 12.25 0
25.7 10.95 0
24.4 11.5 0
24.2 10.1 0
22.5 11.25 0
21.65 9.2 0
24.3 8.5 0
19.8 12.85 0
20.65 14.8 0
21.15 16.1 0
23.1 16.55 0
22.55 16.15 0
21.85 17 0
21.5 16.05 0
20.95 16.7 0
19.8 16.15 0
17.75 16.05 0
15.65 15.9 0
16.6 15.7 0
16.25 16.7 0
17.15 16.2 0
17.2 14.5 0
17.35 16.95 0
18.5 14.95 0
17.8 14.95 0
19.35 15.35 0
19.35 16.65 0
18.85 17.3 0
18.35 17 0
19.1 15 0
16.45 12.25 0
20.7 11.2 0
24.75 14.5 0
22.25 11.15 0
23.95 14.3 0
23.4 14.3 0
25.45 11.75 0
22.2 10.45 0
20.55 6.7 0
22.2 6.1 0
21.9 7.4 0
20.35 7.6 0
20.35 8.9 0
23.15 8.35 0
25.05 13.2 0
23.4 15.85 0
23.4 15.75 0
24.25 15 0
1.85 7.3 1
1.95 9.6 1
3.05 9.15 1
3.5 10.45 1
2.7 12.55 1
4.2 10.1 1
4.9 11.55 1
2.8 11.25 1
3.75 8.85 1
2.5 8.05 1
2.15 8.9 1
3.25 8.45 1
2.1 6.7 1
2.65 6.45 1
2.65 5.35 1
2.25 6.35 1
4.05 5.5 1
4.6 6.3 1
3.55 6.25 1
4.8 7.1 1
5.7 7 1
5.7 6.05 1
6.45 6.1 1
6.45 7.3 1
7.3 6.7 1
8.3 7.2 1
9.4 6.8 1
10 6.25 1
9.05 6.3 1
8.15 5.95 1
8.1 6.7 1
7.05 7 1
7.1 5.55 1
8.35 4.8 1
4.55 4.85 1
5.85 3.35 1
5.6 5.55 1
2.9 5.1 1
3.85 4.25 1
5.95 4.5 1
8.15 2.7 1
6.45 2.5 1
8.4 2.3 1
7.3 3.9 1
9 4.8 1
10 5.65 1
10.45 6.75 1
10.45 6.25 1
11 6.05 1
11.5 5.75 1
11.4 4.85 1
10.4 5.6 1
11.1 5.5 1
11.7 5.1 1
10.05 5.1 1
10.65 4.95 1
10 4.55 1
10.25 3.6 1
10.55 3.25 1
10.55 2.85 1
11 2.25 1
11 2.25 1
11.15 3.2 1
12.55 1.2 1
11.6 1.45 1
10.25 1.5 1
9.95 2.7 1
9.2 3.65 1
9.55 4.35 1
9.1 5.7 1
8.05 5.55 1
6.85 5.1 1
7.8 4.7 1
7.8 4.2 1
7.7 7.3 1
8.6 2.15 1
6.8 3.75 1
4.9 3.75 1
6.7 2.8 1
8.3 3.1 1
7.95 2.25 1
10.2 1.55 1
9.25 2.45 1
10.2 2.2 1
8.3 3.95 1
5.6 4.4 1
5 5.1 1
2.3 10.05 1
3.9 10.95 1
5.15 10.5 1
4.45 9.7 1
3.35 9.9 1
4.45 11 1
4.05 12.6 1
3.55 11.85 1
2.4 11.65 1
2.2 11.15 1
1.5 8.6 1
5.5 12.65 1
5.45 11.85 1
5.45 11.35 1
4.3 12 1
6.25 12.4 1
7.05 12.55 1
6.05 11.9 1
7.4 14.5 1
7.3 13.8 1
5.25 13.8 1
4.6 12.95 1
3.3 13 1
4.5 14 1
3.9 13.5 1
5.3 13.5 1
5.35 14.8 1
6.2 13.7 1
6.15 14.45 1
6.75 13.8 1
6.3 12.95 1
7.3 13.1 1
8.05 13.7 1
8.1 14.65 1
2.7 10.75 1
1.85 10.65 1
13.85 1.8 1
12.9 1.8 1
13.7 1.2 1
12.1 1.7 1
14.4 1.65 1
14.8 1.4 1
15.2 2.25 1
17 1.2 1
15.3 1.05 1
16.45 0.85 1
17.65 1.05 1
17.95 1.65 1
19.15 1.25 1
18.65 1.05 1
20.15 1.35 1
20 2.85 1
18.8 2.2 1
16.35 2.4 1
16.25 1.7 1
15.45 1.7 1
10.8 1.7 1
9.2 1.9 1
7.6 2.9 1
21.25 1.05 1
22.8 1 1
22.2 1.55 1
24.25 1.35 1
22.8 2.2 1
24.6 1.7 1
25.4 1.35 1
26.9 0.95 1
25.6 0.95 1
26.8 1.45 1
28.15 1.45 1
29.2 1.7 1
29.7 2.65 1
30.45 3.45 1
31 4.45 1
30.15 4.65 1
29.7 3.95 1
27.85 4.4 1
27.8 4.05 1
28.1 3.55 1
27.55 3.4 1
28.6 4.6 1
29.45 4.3 1
29.25 3.65 1
28.05 2.35 1
27.4 1.9 1
29.35 2.95 1
29.9 3.6 1
31.4 3.7 1
31.4 5.8 1
30.05 5.4 1
29.4 5.15 1
28.75 5.45 1
29.45 5.7 1
29.1 6.15 1
29.9 6.2 1
29.55 6.75 1
29.95 6.7 1
30.45 7.3 1
29.75 8.05 1
29.5 7.8 1
30.35 7.9 1
30.35 9.1 1
29.9 9.3 1
28.85 9.9 1
29.65 10.3 1
30.2 10.2 1
29.8 9.85 1
29.15 12 1
28.6 10.7 1
29 10.9 1
27.85 12.4 1
28.8 11.85 1
29.35 11.65 1
30 11.15 1
31.1 10.9 1
31 9.95 1
31.1 8.55 1
